"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Bitter Downfall","B","U","9744","2.40","4983","2.62","28286","58.7%","4693","58.7%","7676","63.9%","12369","62.0%","16008","56.2%","5.8pp"
"Foray of Orcs","R","U","12663","2.98","5583","3.28","30700","59.2%","5229","60.9%","8206","62.5%","13435","61.9%","17402","57.2%","4.7pp"
"Gothmog, Morgul Lieutenant","B","U","10580","2.57","4326","2.90","24040","58.8%","4044","61.1%","6375","62.4%","10419","61.9%","13607","56.4%","5.5pp"
"Bilbo, Retired Burglar","UR","U","16864","4.38","4405","5.09","16672","57.0%","2917","61.2%","4966","61.5%","7883","61.4%","8733","53.2%","8.2pp"
"Mauhúr, Uruk-hai Captain","BR","U","14163","3.59","4266","4.14","20874","59.7%","3625","63.8%","5057","59.5%","8682","61.3%","12210","58.6%","2.7pp"
"Shelob's Ambush","B","C","67651","6.43","12359","8.71","41320","59.5%","6582","59.6%","10308","62.3%","16890","61.3%","24412","58.2%","3.0pp"
"There and Back Again","R","R","2339","1.71","1445","1.67","7789","58.2%","1312","61.4%","1984","61.1%","3296","61.2%","4471","55.9%","5.3pp"
"Sauron, the Dark Lord","UBR","M","991","1.46","702","1.39","3496","56.1%","589","59.9%","987","61.8%","1576","61.1%","1862","51.8%","9.3pp"
"Book of Mazarbul","R","U","13893","3.33","4474","3.90","23890","59.5%","4228","62.0%","5607","60.2%","9835","60.9%","14035","58.4%","2.5pp"
"Théoden, King of Rohan","WR","U","16352","4.19","4004","4.81","16079","57.9%","2821","61.8%","3735","60.2%","6556","60.9%","9419","55.8%","5.1pp"
"Frodo, Sauron's Bane","W","R","2816","2.15","1147","2.25","5324","57.1%","974","65.3%","1395","57.5%","2369","60.7%","2939","54.2%","6.5pp"
"Spiteful Banditry","R","M","1086","1.72","683","1.66","3268","57.3%","532","57.7%","887","62.5%","1419","60.7%","1845","54.9%","5.8pp"
"Denethor, Ruling Steward","WB","U","14281","3.53","4493","3.99","19772","56.6%","3318","58.1%","5264","62.2%","8582","60.6%","11171","53.5%","7.1pp"
"The Mouth of Sauron","UB","U","15555","3.85","4804","4.50","19598","56.0%","3092","56.0%","5945","62.7%","9037","60.4%","10368","51.9%","8.5pp"
"Smite the Deathless","R","C","35665","3.15","14049","3.68","78430","58.6%","13564","59.2%","20217","61.1%","33781","60.4%","44703","57.3%","3.0pp"
"Shadowfax, Lord of Horses","WR","U","18765","4.72","3716","6.06","12407","57.8%","1959","60.5%","2889","60.2%","4848","60.3%","7453","56.1%","4.3pp"
"Relentless Rohirrim","R","C","64854","6.04","11708","8.17","44156","59.5%","7193","59.5%","11050","60.3%","18243","60.0%","25945","59.1%","0.9pp"
"Sam's Desperate Rescue","B","C","65413","6.08","12271","8.26","45112","58.9%","7138","56.7%","11779","61.9%","18917","59.9%","26180","58.1%","1.9pp"
"Easterling Vanguard","B","C","53595","4.44","13084","5.83","71994","59.1%","12894","60.1%","18101","59.8%","30995","59.9%","40968","58.5%","1.4pp"
